Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5,0.0
4-4,0.6093480095149176,0.012881517980424976
5-5,0.637576279684318,0.003445645493038147
6-6,0.6704325993374286,0.010565240061494497
7-7,0.6900523931001729,0.014017880595356011
8-8,0.7029653472741809,0.016563411292088052
9-9,0.7072496758112771,0.012261460673462884
10-10,0.7107283195126953,0.014898723632489749
11-11,0.7187140311421788,0.013808873587257747
12-12,0.7187054309660622,0.017641999267270617
13-13,0.7317477393721833,0.01310458345533311
14-14,0.7263619626681486,0.012820409841512235
15-15,0.7303263198431763,0.017268908049121196
16-16,0.7276465032418115,0.016623393095535337
17-17,0.7341195421308978,0.013441960903379525
18-18,0.7302950593232564,0.013734995949708837
19-19,0.7360440874740561,0.018491160493034668
20-20,0.7332305941472518,0.017562623557029023
21-21,0.7263277825694029,0.021268744121590005
22-22,0.73356746425217,0.017969377487988124
23-23,0.7344783280353147,0.0183550464703011
24-24,0.7376832482956881,0.011959412150779301
25-25,0.7454355952665154,0.01251194088282657
26-26,0.747931297436219,0.017303038609376962
27-27,0.7511131695692969,0.015025474975489918
28-28,0.7516354415470708,0.011357665425926252
29-29,0.7557666610970616,0.01611494446922642
30-30,0.7501677344569501,0.01791881383506835
31-31,0.7542510808422139,0.016517308718324575
