Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5,0.0
4-4,0.5,0.0
5-5,0.5,0.0
6-6,0.5,0.0
7-7,0.5944837584156469,0.02004851841678836
8-8,0.6175563443232056,0.004615303245887024
9-9,0.6392631678476409,0.02186214727029118
10-10,0.6712955197624243,0.008963456508998626
11-11,0.6729522677380967,0.020749003875324305
12-12,0.6776980861187468,0.018354684894308543
13-13,0.6925391600122173,0.023418409512503294
14-14,0.6887739515082072,0.022825553769662405
15-15,0.6964691637258946,0.022997450951786895
16-16,0.7157397775899167,0.01193365182518491
17-17,0.7165251239292075,0.018607535328225414
18-18,0.7367573251819048,0.008831283920024384
19-19,0.7489084650071444,0.007038719849381381
20-20,0.7471184600866773,0.0028904717935467764
21-21,0.7634663663377853,0.013877990714177323
22-22,0.7578370286600093,0.017260662175764937
23-23,0.7533371340985872,0.015598378096367866
24-24,0.751801239260972,0.017396192043387045
25-25,0.7489094602975546,0.020374614838005605
26-26,0.7528317256282926,0.01581176436968958
27-27,0.7546648141823905,0.011648456645607316
28-28,0.7428403535520359,0.01198873905877369
29-29,0.7540567912708053,0.021848729113105998
30-30,0.7572355373417411,0.014924757527512475
31-31,0.7578362324276813,0.015311316180635146
32-32,0.7476061026231501,0.005010506735892446
33-33,0.7486737133227708,0.006428150824641216
34-34,0.7530562382625713,0.016002849010653308
35-35,0.7562275694199511,0.002863926779772034
36-36,0.7551596228098169,0.007432657940128247
37-37,0.7522766646076597,0.00971412678420305
38-38,0.7562762391210093,0.010628001298272596
39-39,0.7595201269492918,0.01318513469015361
40-40,0.7540963291823503,0.0062155898038955765
41-41,0.76069882449982,0.00870249886640271
42-42,0.7528761155805871,0.011880174426395038
43-43,0.7470197272779865,0.014828738059988777
44-44,0.7476700375908746,0.013530701367837584
45-45,0.744974169103573,0.01804536631249536
46-46,0.7405826119033,0.015509291426529136
47-47,0.7417051501924332,0.01780755750544053
48-48,0.7374762110040551,0.017145781692892662
49-49,0.7313132110494655,0.011607833126697598
50-50,0.7390504245224627,0.013076087475493393
51-51,0.7399206318103523,0.010129764695559948
52-52,0.737838832623878,0.008916788305688976
53-53,0.7435529068389514,0.01728164703354498
54-54,0.7432524037818548,0.02372865786311537
55-55,0.7368331911934215,0.018746089913710205
56-56,0.7294100913738802,0.020058741004421222
57-57,0.7331335225629226,0.02403531999119879
58-58,0.7318687448330432,0.025320671832157533
59-59,0.7345988388693252,0.029209952790327995
60-60,0.7369873616779601,0.029385765390475785
61-61,0.7424628274583206,0.022694279765693465
62-62,0.7377979510702793,0.02215521718915315
63-63,0.7404655906333218,0.01961049504196583
64-64,0.7326346208036846,0.019445010581655195
65-65,0.737174190129083,0.012917101045276153
66-66,0.7348563578218318,0.012292476635062574
67-67,0.7392858107044727,0.012063968714486745
68-68,0.7299506833601752,0.014832758797517942
69-69,0.7295074183348667,0.007984042880832327
70-70,0.7345258094354775,0.016582915839764244
71-71,0.7337109154121343,0.027529910021080437
72-72,0.730814371495878,0.03601880391967606
73-73,0.7302490714251499,0.037950664655945
74-74,0.7317302750547254,0.03132441659566471
75-75,0.7205216130422855,0.03467146525978131
76-76,0.71610246141539,0.030251538310166692
77-77,0.7111061284384951,0.04256428145053213
78-78,0.7140226154863455,0.035862291626121215
79-79,0.7243764474477331,0.0320468300663543
