Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5,0.0
1-5,0.5,0.0
2-6,0.5,0.0
3-7,0.5,0.0
4-8,0.5,0.0
5-9,0.5759367830563483,0.03733836324930368
6-10,0.5750338537295058,0.020747365538676014
7-11,0.5805012310447094,0.02075368632252387
8-12,0.5874528565832914,0.009451844214265252
9-13,0.6030567679480723,0.020197487181339468
10-14,0.6431744166526775,0.02591808167088114
11-15,0.6451435286217895,0.01718389501149193
12-16,0.6619124559341951,0.01582824576008787
13-17,0.6696434167086341,0.009024803473620733
14-18,0.6904971741928264,0.007344335947220826
15-19,0.698008645291254,0.019972222087336605
16-20,0.6936865592300375,0.039982680651713544
17-21,0.6955809691679257,0.04482103057267057
18-22,0.6847160203681942,0.03685494354087454
19-23,0.6870198925633707,0.035869299454578965
20-24,0.6901112136981702,0.03453648692829705
21-25,0.6891960438699568,0.038144729462803915
22-26,0.6901779419170723,0.03429642051513331
23-27,0.6983881707794751,0.03965350789962858
24-28,0.7010900341335123,0.03990069724909458
25-29,0.710898662637793,0.045950356357657464
26-30,0.7210367354932572,0.041238446295390016
27-31,0.7298726987857423,0.052641189027892825
28-32,0.7413001510827598,0.05434696074724148
29-33,0.7391365900061553,0.055013383939906124
30-34,0.7403031447596665,0.053577294479362304
31-35,0.7332674444630967,0.04952342325660755
32-36,0.7289547311286442,0.050169703356466026
33-37,0.7205949583123497,0.04291103679432043
34-38,0.7206942812377596,0.05149232651930539
35-39,0.7235728274858709,0.05521365814818989
36-40,0.7139940406244754,0.060877540895780756
37-41,0.7082749986010856,0.05752483227800311
38-42,0.704826954283476,0.0476076428853383
39-43,0.6928385372950592,0.041649139752761764
40-44,0.6943619551228246,0.03840932895063372
41-45,0.6932162441945051,0.044637469598581184
42-46,0.6986057019752673,0.04897369723371342
43-47,0.6950123104470931,0.051635352132680425
44-48,0.6971758715236976,0.056839881874953584
45-49,0.7000304963348442,0.058660124360238444
46-50,0.69877343181691,0.061263112819467586
47-51,0.69460830395613,0.06645860797775588
48-52,0.6978767276593363,0.07225309493668343
49-53,0.7037711935538024,0.07172870415062589
50-54,0.7037958144479884,0.06783292610849119
51-55,0.6969033629903195,0.06274544056904825
52-56,0.6977129147781321,0.05745033983290161
53-57,0.7043317385708691,0.04741358641732461
54-58,0.7039883050752617,0.05343505749963601
55-59,0.7135596776901125,0.051679959262618
56-60,0.7109704269486877,0.038703015246645524
57-61,0.702967657098092,0.0426480746627977
58-62,0.6953287448939623,0.045749495743501255
59-63,0.6984214649432041,0.04675095576122339
60-64,0.6978795254882212,0.031984251570684526
61-65,0.6916585529629007,0.0356804336027638
62-66,0.6951990655251525,0.03578341713725449
63-67,0.6973546527894355,0.04336531926610954
64-68,0.6977031223770355,0.03996890122989472
65-69,0.7049243187286666,0.05045730088237541
66-70,0.7024230597056684,0.051623574979483146
67-71,0.7077338984947681,0.054296903778075715
68-72,0.7080760729673775,0.0543185720659252
69-73,0.709618236248671,0.05002529647642717
70-74,0.711737032063119,0.045388300817312315
71-75,0.7118114543114543,0.05292090010181189
72-76,0.7137591628895977,0.0597563203979673
73-77,0.7015817525600135,0.05793069878515961
74-78,0.689751552795031,0.06640815184418174
75-79,0.6993052990879077,0.0733453376800054
