Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.4853419782831548,0.014737454655740174
1-1,0.6035104764516529,0.01761854475984319
2-2,0.6370148805442923,0.016120628722867028
3-3,0.6321835027717381,0.016601325437204002
4-4,0.6527633151162563,0.005389797187431403
5-5,0.6998762022291435,0.02010245698224516
6-6,0.671424523189229,0.019243334634292203
7-7,0.7052952276481688,0.018306431435463254
8-8,0.6945625616213853,0.006542729571920685
9-9,0.7067452808629279,0.022901847147509355
10-10,0.7122117098587687,0.02240288265851642
11-11,0.7058715141068083,0.020081414446438843
12-12,0.7021793892382128,0.00596955346595529
13-13,0.7242736348618702,0.013128080866573532
14-14,0.7122164110399405,0.016898103952772164
15-15,0.7054175889470007,0.020672021358134746
16-16,0.7205961358902536,0.015831086945401696
17-17,0.7415662768603944,0.01198119261235628
18-18,0.7326224102694692,0.024769490589582947
19-19,0.7334669252316312,0.020827284836122787
20-20,0.7180652027710851,0.03976178075480104
21-21,0.7323989735754441,0.03184552806713287
22-22,0.7432579185520362,0.03267391679589803
23-23,0.7249311472840884,0.03252248177078449
24-24,0.7414171449465567,0.0124185646811148
25-25,0.7488457947281478,0.012540497280574743
26-26,0.7620954209189503,0.013293954447389658
27-27,0.7435898741781095,0.008679766970079694
28-28,0.7213707860766684,0.021857482927458344
29-29,0.7379927262280203,0.013007336944928238
30-30,0.7174550939256822,0.025856623958020762
31-31,0.7174637127578304,0.028157144434000112
32-32,0.7420862797333386,0.03536125154563854
33-33,0.7263528628234511,0.04355756596061491
34-34,0.7417329076152606,0.034904797652129164
35-35,0.7334729322964617,0.036397984015270335
36-36,0.7254303866068573,0.02126503638301324
37-37,0.7410324316206669,0.01347977463435419
38-38,0.7268305550658493,0.01610083174787109
39-39,0.7197026502908855,0.02094008061542322
40-40,0.7423453670512493,0.011144305016757677
41-41,0.7316308528073234,0.015484500098043141
