Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5032854726972374,0.013609496406079896
1-1,0.6111589064530242,0.029787888504920076
2-2,0.6147476053358406,0.021108441178442582
3-3,0.6062705921529451,0.026275348621250243
4-4,0.631011341599577,0.01966558029549462
5-5,0.6761434643787584,0.025018860788371133
6-6,0.6714369290839879,0.015092524108837536
7-7,0.6955312661195014,0.00620730824434226
8-8,0.681978021978022,0.011088963282612092
9-9,0.7138626079802551,0.027100696615459118
10-10,0.7093877364465601,0.029408973309936706
11-11,0.7085199767552709,0.02470066308877136
12-12,0.7027048768225238,0.013195486437776334
13-13,0.7286655827832297,0.01577019555568921
14-14,0.7210550234079646,0.025881413956316015
15-15,0.7137573537573537,0.02068680035645743
16-16,0.7366935025758555,0.014954976054629397
17-17,0.7391025967496555,0.011706126551279556
18-18,0.7406372712255065,0.01831301050031954
19-19,0.7378310578310577,0.027666854797325887
20-20,0.7322431816549463,0.03609494207118037
21-21,0.7390617225911343,0.021178536042060204
22-22,0.758197488785724,0.034240420836512735
23-23,0.7463016721840252,0.0318409099445579
24-24,0.755208321090674,0.008943025856271877
25-25,0.7573128831952362,0.0250728887624657
26-26,0.7735464535464537,0.006405556016784008
27-27,0.7548162948162949,0.012370916132503804
28-28,0.7418096935743993,0.0204992347327589
29-29,0.7439788969200732,0.012091628119602028
30-30,0.7187903599668305,0.021305820188268564
31-31,0.7192914275267217,0.020952461929610672
32-32,0.7420544161720631,0.0445285327840664
33-33,0.7361941326647209,0.03768704616611069
34-34,0.7471758307052424,0.037481562053256395
35-35,0.7362937715878893,0.02707088289051503
36-36,0.7256482080011492,0.026937851487640396
37-37,0.7464100605277076,0.017779764756987046
38-38,0.7333095662507426,0.03334433256508533
39-39,0.7229896900485135,0.03304421738038686
40-40,0.7394771241830066,0.02319600449904071
41-41,0.7420834067892891,0.01377417043267316
