Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6940418648576391,0.014779732893227017
1-5,0.7218692444527779,0.013824566004090334
2-6,0.7384798176340756,0.013170396171353892
3-7,0.7481958709103292,0.010856876688880048
4-8,0.7586542159004344,0.014593075858628452
5-9,0.7651758604341773,0.013115607753505757
6-10,0.7740465370799713,0.012013691340042125
7-11,0.780038269439402,0.014869077476672673
8-12,0.7876941496652216,0.015342832827670938
9-13,0.7918363133271039,0.015123484282185386
10-14,0.7913985660862592,0.014535517492721145
11-15,0.790477097717214,0.012732431021417686
12-16,0.7877744501473091,0.01614836420162321
13-17,0.7912360796325707,0.023776974293058518
14-18,0.7901482038878601,0.0265717756669958
15-19,0.78477123073084,0.0230713509185806
16-20,0.7866492351610027,0.022035623545789338
17-21,0.77820877930934,0.019894857774236566
18-22,0.7727073362687268,0.01768728064511384
19-23,0.7660121491430617,0.01380632292325606
20-24,0.7665514405074388,0.02188504198534598
21-25,0.7657414779889713,0.025948373041725627
22-26,0.7660233655651388,0.025578545393033024
23-27,0.7587723692218097,0.027982891373441784
24-28,0.7527106324628804,0.031729501534088475
25-29,0.7529210868728159,0.0258963641422168
26-30,0.7522032082841529,0.018802424025954213
27-31,0.7466957571846337,0.02388659341135999
