Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5,0.0
4-4,0.5636033790333749,0.007001811260748133
5-5,0.5531117573743248,0.013467715805947836
6-6,0.5794820661958178,0.02759833042738923
7-7,0.660379448829802,0.018943786616600115
8-8,0.6836837003185154,0.017851139068750747
9-9,0.692618750865531,0.022972459415565548
10-10,0.6924802658911507,0.028426394936231426
11-11,0.697598670544246,0.019905556598365914
12-12,0.706179199556848,0.018372742000412903
13-13,0.7107879795042238,0.0250177755942893
14-14,0.707381249134469,0.025450599497411054
15-15,0.7122171444398283,0.018264778808499266
16-16,0.7187370170336518,0.014741724677170288
17-17,0.7206370308821493,0.013796897915195271
18-18,0.7173410884918986,0.01808392578864809
19-19,0.7239994460601024,0.01778713151515603
20-20,0.7260047084891289,0.013040013153907529
21-21,0.7256834233485668,0.010707565441629126
22-22,0.7262982966348152,0.005325043135522127
23-23,0.7328292480265891,0.008469278649126534
24-24,0.7348123528597147,0.0069440420601964235
25-25,0.7374324885749896,0.006287089111627964
26-26,0.747303697548816,0.006096075854191761
27-27,0.748378340950007,0.007479667182148361
28-28,0.7525439689793657,0.002465693759940274
29-29,0.7647860407145824,0.008415476089656508
30-30,0.766425702811245,0.011054668710517707
31-31,0.773399806121036,0.013628239555791882
