Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5636033790333749,0.007001811260748133
1-5,0.5531449937681762,0.013497825475564974
2-6,0.5792771084337349,0.027635683003553166
3-7,0.6614263952361169,0.023317119270175497
4-8,0.6830134330425149,0.016805747509587788
5-9,0.6918266168120759,0.021443966278648873
6-10,0.6933942667220606,0.027478784091285156
7-11,0.6985791441628583,0.021318479870500864
8-12,0.7058191386234594,0.01968147500957918
9-13,0.7092535659880902,0.023557254480392475
10-14,0.7113640769976458,0.02283834023067742
11-15,0.7176014402437335,0.016546397309939648
12-16,0.7224317961501177,0.013017046310497262
13-17,0.7252790472233763,0.014411997349120922
14-18,0.7255560171721368,0.016909953096664227
15-19,0.7304805428610995,0.013827948471238083
16-20,0.7331172967733001,0.012007392870222778
17-21,0.7317546046253981,0.010589757195420315
18-22,0.7252291926325993,0.008813734297597568
19-23,0.7299598393574298,0.008151290528653677
20-24,0.7365572635369061,0.007873221930966413
21-25,0.7415482620135715,0.004026307677257898
22-26,0.7483340257582052,0.0026502116708790996
23-27,0.7503392881872317,0.005093039066662854
24-28,0.7545769284032682,0.0017968093218929625
25-29,0.764353967594516,0.004676383941708446
26-30,0.7672676914554771,0.0062726392701930546
27-31,0.7760697964270875,0.009608433229711359
