Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5759229807026559,0.06642232629114234
4-4,0.6138820340451795,0.013127182465556598
5-5,0.6341495804389798,0.012766276503566314
6-6,0.6842978169859238,0.04642479177338676
7-7,0.6952050582233209,0.03309381239704026
8-8,0.7089421492515644,0.03571595500617017
9-9,0.6978249688206349,0.0429899104584864
10-10,0.7156146332861878,0.05695767822283574
11-11,0.7129099238034717,0.05160229132119029
12-12,0.7263221663102328,0.05254410424504868
13-13,0.7221714442159918,0.05477224553852905
14-14,0.7263399404461439,0.056258484949042786
15-15,0.7340319637196296,0.06094016651195083
16-16,0.738661702997204,0.05384991950277696
17-17,0.7414091124610872,0.05110118538254785
18-18,0.7501563563048101,0.04420290339430307
19-19,0.7540639934157486,0.04079363217829605
20-20,0.7554907399919989,0.041001210252392256
21-21,0.758018268061134,0.03475833530315987
22-22,0.7681060030285395,0.038793647108842325
23-23,0.7661206866242543,0.0377765929022531
24-24,0.770778233093178,0.03606851040905102
25-25,0.7679338353504671,0.03323114982389611
26-26,0.7718607150850719,0.03378659402391516
27-27,0.7713975210345009,0.02840018107317162
