Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.6145626449354672,0.013674783663171592
1-5,0.634674106137324,0.013293939943950379
2-6,0.6846870315358675,0.04651497120093347
3-7,0.6953131706674004,0.03259138823051773
4-8,0.7087043476668358,0.035798625952524456
5-9,0.7116865500016142,0.03755902790195092
6-10,0.7162871917645705,0.049921937484209006
7-11,0.7194365965834116,0.05037173628267632
8-12,0.7273820176536171,0.05315308186906111
9-13,0.7266830541029533,0.050015840105779745
10-14,0.7345345606881396,0.04942357301979141
11-15,0.7403859229444126,0.05696583001531597
12-16,0.7474954897837481,0.056642571614752404
13-17,0.7473158126712532,0.05341763495710282
14-18,0.7520313014743941,0.0493483424872716
15-19,0.7565512834813233,0.043598407022105407
16-20,0.7559156949393014,0.041421889869399486
17-21,0.7606096979000957,0.038688981069323954
18-22,0.7686387936689382,0.03988228696747018
19-23,0.7698480779783606,0.039023981748523756
20-24,0.7723406257756545,0.03529490171083494
21-25,0.7705913485345276,0.03327630630047114
22-26,0.7711775865877599,0.03385982531832141
23-27,0.7724965967017673,0.032160907876023985
