Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.7119882250044972,0.032452927296789766
1-5,0.7384132211012453,0.035028329094345736
2-6,0.7514101424300902,0.0405612255843185
3-7,0.7522742940999764,0.04556718217739986
4-8,0.7644088852464894,0.043673568100169015
5-9,0.7711954526518205,0.04202903416888911
6-10,0.7721926375635855,0.03251193289624763
7-11,0.7791333401242463,0.032180692657302314
8-12,0.7909491510810822,0.0305791944059535
9-13,0.7893549778922079,0.028627405070127676
10-14,0.7903425078782252,0.026626872374900735
11-15,0.7910644468079601,0.02830491838439942
12-16,0.7975542696091833,0.026883177058070834
13-17,0.798410605345886,0.02879882988119905
14-18,0.7870258926282614,0.03078706682637785
15-19,0.7864523336791583,0.027227497897630903
16-20,0.7867358788615141,0.02411238516348971
17-21,0.7919721438543338,0.027359994396819236
18-22,0.7863610410794735,0.024101881058212746
19-23,0.7768056692221353,0.025613656422264017
20-24,0.7738077393340959,0.020107000044391088
21-25,0.7693004746630967,0.02248455517359941
22-26,0.7646647232200978,0.025292298755227927
23-27,0.7600712810636301,0.03127091072724388
