Layer Group,Validation AUROC Mean,Validation AUROC Std
0-4,0.5,0.0
1-5,0.5,0.0
2-6,0.5,0.0
3-7,0.5,0.0
4-8,0.5,0.0
5-9,0.5,0.0
6-10,0.5,0.0
7-11,0.5,0.0
8-12,0.5,0.0
9-13,0.5,0.0
10-14,0.5,0.0
11-15,0.5,0.0
12-16,0.5,0.0
13-17,0.5,0.0
14-18,0.5068211068211069,0.0118145035780117
15-19,0.5442471042471043,0.03842837572060321
16-20,0.5692676682894074,0.021863734617576
17-21,0.5580451569582005,0.012955538337565532
18-22,0.5667957864696995,0.008992744967053283
19-23,0.5505500531587488,0.02212669863465096
20-24,0.5654291869509261,0.020539037195557573
21-25,0.5664208773991383,0.039620524057056225
22-26,0.5711240277544626,0.034805051440359905
23-27,0.5805920205920206,0.04792016520236313
24-28,0.5978039841083319,0.04169381233472757
25-29,0.6135633148676627,0.03859402790169838
26-30,0.6204007889877455,0.035424514411246284
27-31,0.6359421688769515,0.02684671821386558
28-32,0.6473669632365285,0.026954755575745445
29-33,0.6477448100274188,0.02646262044918214
30-34,0.6494940126461866,0.027108898707522297
31-35,0.6289112248894858,0.03216348437618773
32-36,0.6298332493984667,0.03335979030909995
33-37,0.6311209501426894,0.0349809275826786
34-38,0.6346709753231492,0.04333724407571179
35-39,0.6451845168149516,0.03404341242935344
36-40,0.6492803984108332,0.03628190954324355
37-41,0.6546509708466229,0.03260677380126688
38-42,0.659129455542499,0.03666580691860543
39-43,0.6595636785854176,0.03865118232530597
40-44,0.666265318113144,0.040546298938830216
41-45,0.6689796318057187,0.03793125047817742
42-46,0.670834312573443,0.039439607043983464
43-47,0.6718720273068101,0.03753237026260151
44-48,0.6676173689217167,0.03808508735146483
45-49,0.668314447988361,0.03683130487630638
46-50,0.6638063063063063,0.03435905190060888
47-51,0.6666677857982206,0.03549068961213117
48-52,0.6669021039673213,0.03347625911365048
49-53,0.6766658273180012,0.03776421588831086
50-54,0.6764565497174194,0.039833587147049994
51-55,0.6750616921269096,0.04116450380851899
52-56,0.6717093335571596,0.044366783289046835
53-57,0.6804335235856976,0.043511825544730494
54-58,0.6836054221923789,0.04660626525855317
55-59,0.6829571652397739,0.046382469740446165
56-60,0.6881218174696436,0.04534417781812599
57-61,0.6929119803032847,0.05003650915428128
58-62,0.6938070057635276,0.04969943484729229
59-63,0.6919735884953275,0.05093663444900195
60-64,0.6938165183817357,0.043679202606529036
61-65,0.6875745621397796,0.03994430273623232
62-66,0.685687566448436,0.042429161629932814
63-67,0.6862416764590678,0.03785624850034997
64-68,0.6895979519892563,0.03444822401261502
65-69,0.6894934530804097,0.03398649177756569
66-70,0.6842013597448381,0.03568989667267489
67-71,0.6903076212858822,0.03716690827626596
68-72,0.6875889709585362,0.0431371541104504
69-73,0.6898484975658888,0.047557954554785786
70-74,0.6950471434167086,0.040654354232986585
71-75,0.6984753231492361,0.041932528767995685
72-76,0.7038481338481338,0.03895323021259052
73-77,0.6940928039841084,0.04422911978153961
74-78,0.6851579374405462,0.04453620351474771
75-79,0.6707622684796598,0.051860827671298515
