Layer Group,Validation AUROC Mean,Validation AUROC Std
0-0,0.5,0.0
1-1,0.5,0.0
2-2,0.5,0.0
3-3,0.5,0.0
4-4,0.5,0.0
5-5,0.5,0.0
6-6,0.5,0.0
7-7,0.5,0.0
8-8,0.5,0.0
9-9,0.5875926718919248,0.014349014238289128
10-10,0.5825605994663512,0.02064474768181173
11-11,0.587328530969986,0.021575844536265817
12-12,0.6171279363680283,0.0258724865161882
13-13,0.650434718097395,0.019732917623865986
14-14,0.67691411707745,0.026704522068632715
15-15,0.6930377752570266,0.02619236254566293
16-16,0.7011112770717823,0.023778903224316222
17-17,0.7009900469031362,0.023201832297929995
18-18,0.712124156923997,0.026267444880271044
19-19,0.7142504933175694,0.025603984332058457
20-20,0.7150936576646569,0.024372672030167294
21-21,0.7170793839321127,0.02512153040261059
22-22,0.7226488016209204,0.02423819086387698
23-23,0.7228790278802147,0.02484984863310546
24-24,0.7209269607085901,0.021917991707621386
25-25,0.7170688520552956,0.020880633349738303
26-26,0.7170181499133471,0.02016288533657918
27-27,0.7263122908874508,0.018957001466967723
28-28,0.7290448443823175,0.020886802229890554
29-29,0.730453244167229,0.02512473370811607
30-30,0.7258902338644581,0.022008917141109762
31-31,0.7362148665045174,0.02326427707467943
32-32,0.7435776932787652,0.025032159421332193
33-33,0.743986501844372,0.024290238026429555
34-34,0.7433249829243507,0.02174664433504787
35-35,0.7460214520679499,0.02102525031044094
36-36,0.7436000674696387,0.02056339538131636
37-37,0.744792085775206,0.026724336607635343
38-38,0.749405818202516,0.021870445903407604
39-39,0.7539725931201331,0.021611253128760995
40-40,0.7512475983029859,0.020565237323525453
41-41,0.750920894520025,0.020275328867416828
42-42,0.75104935155022,0.024137365240593147
43-43,0.7528867086620785,0.024851750385340612
44-44,0.7547514187849474,0.024491265414916693
45-45,0.7523696517753881,0.02071889368021064
46-46,0.7537338742599501,0.02138647038105272
47-47,0.7522268845812313,0.019942042036371066
48-48,0.7514742014031396,0.019658401184840732
49-49,0.7500347912673303,0.01995903700158839
50-50,0.7517458421067422,0.020382178065928777
51-51,0.7507672625811651,0.020478283201057
52-52,0.750372873557909,0.019548054801086536
53-53,0.7539250629514699,0.01968253658597579
54-54,0.7562392677714221,0.018381684524137604
55-55,0.7566461317154755,0.01743013362845219
56-56,0.755269197674178,0.01781759141922545
57-57,0.7561082356163632,0.0183244581936732
58-58,0.7565923717113495,0.020343215892670782
59-59,0.7527521874415771,0.019875139270961923
60-60,0.7546202946048015,0.01984652288528119
61-61,0.7523842180320203,0.01967392323448569
62-62,0.753181538110039,0.01757060940531826
63-63,0.7543057686330714,0.018211400495543068
64-64,0.7544694402459972,0.01736802338081243
65-65,0.7509657422888657,0.018720700640558904
66-66,0.7485847535486135,0.01771312177571927
67-67,0.7524331864213293,0.016945365206630383
68-68,0.7552863022456394,0.015109889390065816
69-69,0.7578842062107407,0.014932120449716002
70-70,0.7558269980108278,0.014515023868153063
71-71,0.7600878636600061,0.013446945422252585
72-72,0.7544772749989779,0.013118712310377575
73-73,0.7551440151595082,0.01803514237297052
74-74,0.7579797466560922,0.019428966767036204
75-75,0.7579796420104219,0.015332254937728093
76-76,0.7658341519885076,0.018094283991994125
77-77,0.7644637185993576,0.019982996706777733
78-78,0.7605525871943484,0.01755583472229236
79-79,0.7617213873075297,0.011597409089782582
