Layer Group,Validation AUROC Mean,Validation AUROC Std,Test AUROC
0-4,0.7466350178933558,0.01674719714356094,0.7627969145192213
5-9,0.8093882189717881,0.01300365448166481,0.8271347692640031
10-14,0.8179958813103226,0.017924400748383917,0.8283723818867518
15-19,0.8116254957064248,0.020873230824030697,0.8334938479401626
20-24,0.8109050679951961,0.015818567233675467,0.8289124310312239
25-29,0.8140062894851864,0.018498595601379154,0.8166938191375415
30-32,0.7710152587874375,0.010462520171781592,0.7991917264471066
