Layer Group,Validation AUROC Mean,Validation AUROC Std,Test AUROC
0-4,0.7135550071247795,0.016305953181342387,0.7291068487232337
5-9,0.8000567050354137,0.015419866099293179,0.8243310141222852
10-14,0.8128989163233514,0.018450345014779695,0.8212077299034212
15-19,0.8153460898216089,0.019175154143575214,0.8366801378925481
20-24,0.8138813527526241,0.01657205810776063,0.8374542083329584
25-29,0.8223381341601016,0.0206824237633074,0.8253616079063195
30-32,0.7751036307388335,0.009793249112019429,0.8053977911989991
