Layer,Full Probe AUROC,Sparse Probe AUROC
0,0.5,0.5
1,0.5,0.5
2,0.5,0.5
3,0.5,0.5701606913554288
4,0.5,0.5699179934115693
5,0.5,0.5671240680055118
6,0.5,0.581917108363948
7,0.5,0.5918521026575894
8,0.5,0.6089730794433557
9,0.5,0.6318835802011178
10,0.5,0.64183236513686
11,0.5,0.653247454454927
12,0.5,0.6565279328897847
13,0.5,0.6731253611933232
14,0.5,0.6705897923295432
15,0.5,0.6796539015821754
16,0.5885644582133213,0.6838960551738091
17,0.6342571658441047,0.6844726337787336
18,0.6522720837069246,0.6872871562960376
19,0.6518481733370891,0.6947704289951784
20,0.6383739184037008,0.6908640942759205
21,0.6430409328739153,0.6884756145741588
22,0.6443333437476031,0.6922502253118992
23,0.641609491499311,0.6892765132429839
24,0.6411710590089054,0.6875649114820134
25,0.6411241204074724,0.6866944025118558
26,0.6424966054439851,0.6900611210184429
27,0.6515174293548839,0.6927705090032188
28,0.6544715609436452,0.690675025688532
29,0.6557248604487855,0.6916054249749396
30,0.656661880235237,0.6953819284648771
31,0.6629287496991433,0.6954109479101371
32,0.6747902309851965,0.694282495662374
33,0.674315530387186,0.6935882936665372
34,0.6777090367098049,0.6940007648702547
35,0.6770216783769344,0.6895724851356964
36,0.6738880494105853,0.6905422437494545
37,0.6793687158973993,0.6970390040850385
38,0.6839856178935008,0.6970271020624883
39,0.6832065974564054,0.6958440823474491
40,0.6788443160899476,0.6908905018884541
41,0.6776321612155403,0.692794982537088
42,0.677287101745101,0.691525094588018
43,0.6794885626522467,0.6907950790757154
44,0.6770063545229008,0.6916999303401068
45,0.6769820545601938,0.6896979192289077
46,0.6760343560146211,0.6893221376627603
47,0.6764557702658384,0.6915832987844068
48,0.6755100223295167,0.6920702402819986
49,0.6781121846625248,0.6942267462581364
50,0.6771085218150847,0.6950602597748665
51,0.677238353044405,0.6938999696167814
52,0.6765601278607833,0.6904728979375115
53,0.6803305894212179,0.6914115873132374
54,0.6829747229143028,0.6931438357772153
55,0.6826149925480115,0.6931857077537709
56,0.6855708019913406,0.6939290882455625
57,0.6875493148732963,0.6922799390418077
58,0.6872621703139754,0.6918416057349235
59,0.6873210439991325,0.6930718285407856
60,0.6885021957578547,0.6926994605408279
61,0.6881538301700403,0.692772567061285
62,0.6883962181653958,0.6910105139491705
63,0.6884076903926875,0.6904840643489462
64,0.6890388860566484,0.6888575041921567
65,0.685307230048904,0.6869742074906041
66,0.6868181339546189,0.6879498427279964
67,0.6914744696657119,0.6902787792558327
68,0.6949211962127764,0.6895033872825567
69,0.6965801480545483,0.6911656617722907
70,0.6996250077693758,0.6912772514989936
71,0.7066636242121522,0.6965123395871851
72,0.7042877490828829,0.6937937192696391
73,0.708170635164658,0.6955278852816945
74,0.7152334606519134,0.6973677230703516
75,0.7199509677997391,0.6979240434410598
76,0.7232149321783081,0.6975755456085505
77,0.7343504314152562,0.6954309664508435
78,0.7374718525431977,0.6936652766096163
79,0.7321159258649464,0.6664808008804851
