Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Average Activation (Not Supported),Std Activation (Not Supported)
9,103,103,0.3293,0.2039,0.205,0.1934
13,103,12391,0.4756,0.362,0.2893,0.319
13,859,13147,0.0953,0.3203,-0.01692,0.3096
13,1947,14235,-0.8203,0.2283,-0.7354,0.2262
13,1534,13822,0.2622,0.3066,0.4285,0.2874
