Layer,Top Dimension
0,1592
1,2563
2,1279
3,2563
4,2071
5,651
6,296
7,296
8,296
9,296
10,296
11,296
12,1834
13,3486
14,3486
15,3486
16,1850
17,2281
18,1482
19,1482
20,2957
21,248
22,2112
23,1482
24,1482
25,347
26,347
27,1913
28,1107
29,2612
30,2612
31,1806
32,2612
33,2888
34,2612
35,2888
36,2888
37,1918
38,1698
39,3320
40,771
41,771
