Layer,Full Probe AUROC,Sparse Probe AUROC
0,0.5,0.5
1,0.5,0.6053261026942842
2,0.5,0.6239468845654995
3,0.5,0.6522473076425154
4,0.5,0.6589191189901054
5,0.5378293244740524,0.6637220623163598
6,0.549600316484333,0.6760880866703107
7,0.5469496729201082,0.6895073862735618
8,0.5826359352058998,0.6962660127934723
9,0.6322170948981672,0.7039799718577503
10,0.6579704939045846,0.7058729555380536
11,0.6666271939007682,0.7037943370480055
12,0.6818691027256442,0.7106505859319308
13,0.7021692945467015,0.7157059073364255
14,0.7010216453412232,0.7098550831250354
15,0.7042340924507973,0.7130467064048575
16,0.7012052686339107,0.708448901850425
17,0.6985995167608691,0.7080692432142187
18,0.6874084368049758,0.6966312085536901
19,0.6901885347331759,0.6955187186969429
20,0.6915729914936775,0.6902309872036205
21,0.6916793930792136,0.6879525783176021
22,0.6897589862926374,0.6815506973677675
23,0.6927610912398852,0.6824804442972048
24,0.688631688693945,0.6766466214424546
25,0.6908476993874803,0.6732486285617051
26,0.6930388998036822,0.6711553801903626
27,0.6947788952425817,0.6670518849301278
28,0.6979587351228426,0.6701481963952709
29,0.6977223318752945,0.6724844305592246
30,0.7027196283686594,0.6676409120258727
31,0.7124099196265317,0.6704460740485445
