Layer,Top Dimension
5,4055
6,4055
7,4055
8,2485
9,133
10,133
11,133
12,133
13,133
14,133
15,133
16,133
17,133
18,133
19,133
20,133
21,133
22,2485
23,1168
24,2485
25,2485
26,2485
27,2485
28,2485
29,2485
30,2485
31,2082
