Layer,Full Probe AUROC,Sparse Probe AUROC
0,0.5,0.5
1,0.5,0.5
2,0.5,0.568148384884011
3,0.5,0.6206730689282448
4,0.484127535960755,0.6138957657770018
5,0.4979942525151742,0.6046269851168204
6,0.5197039473684211,0.6140044275380394
7,0.5260460318450153,0.6283284484908955
8,0.5348261203957762,0.6306660014966325
9,0.5354808971480834,0.6303259333167042
10,0.5637456348216514,0.6553793547850668
11,0.5933680468944874,0.6589301155732934
12,0.6133645131786812,0.6826226407250353
13,0.6585198927413322,0.6905219506111251
14,0.6471677267814085,0.6798194686954352
15,0.6734943252681467,0.6820103724952191
16,0.6717668579030514,0.6853569052964164
17,0.6780489731437599,0.6889533965244866
18,0.6789897730107259,0.6903353912031263
19,0.6780387877276128,0.7037563399018875
20,0.6873011765194978,0.70023239378066
21,0.6885869294088302,0.6931082148499209
22,0.6969941589756381,0.690957533050636
23,0.7007338696266733,0.6897759208447659
24,0.7101483121310385,0.7016817369252515
25,0.7146016255092709,0.7020002910118899
26,0.7158765693855493,0.6999458510019124
27,0.7119595493473019,0.6894200548765278
