Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Standard Error (Supported),Average Activation (Not Supported),Std Activation (Not Supported),Standard Error (Not Supported)
31,N/A,2485,1.926,0.8804,0.017255545387038277,1.5625,0.8975,0.03232126617062034
0,N/A,4055,-0.001607,0.0007324,1.4355694997536005e-05,-0.001618,0.0009456,3.405380275793371e-05
1,N/A,4055,0.1488,0.01185,0.00023223327428305643,0.146,0.013115,0.00047232263794967666
2,N/A,4055,0.2915,0.03848,0.000754272141328871,0.2827,0.03867,0.0013925137458574528
3,N/A,4055,0.6147,0.05893,0.0011550352933434177,0.614,0.05862,0.0021113014252503288
4,N/A,4055,0.817,0.1117,0.0021892434871242407,0.8057,0.11316,0.004075328310686215
5,N/A,4055,1.324,0.225,0.004409590980076476,1.296,0.2294,0.008260562994368283
6,N/A,4055,1.628,0.2656,0.005206332052439725,1.591,0.2463,0.008871642428225223
7,N/A,4055,1.792,0.33,0.006469633212222893,1.746,0.3298,0.01187868079339175
8,N/A,4055,2.19,0.416,0.00815403475860045,2.146,0.4446,0.01601116041803581
9,N/A,4055,2.625,0.455,0.008919671825135705,2.578,0.4707,0.01695195897088031
10,N/A,4055,3.043,0.5034,0.00986714769497308,2.98,0.5,0.018007060151640494
11,N/A,4055,2.75,0.5044,0.009886288621636463,2.7,0.4717,0.01698712901023898
12,N/A,4055,2.518,0.5464,0.01070934846816186,2.484,0.543,0.019554541883422098
13,N/A,4055,3.86,0.594,0.011647253874667545,3.83,0.6226,0.022420900091153936
14,N/A,4055,3.434,0.574,0.011254864878068227,3.355,0.6025,0.021699914284301142
15,N/A,4055,4.16,0.629,0.012326756771217582,3.982,0.6616,0.02382770166550085
16,N/A,4055,5.07,0.789,0.015465868744012123,4.914,0.804,0.028962527411867084
17,N/A,4055,5.625,0.8643,0.016939720097092485,5.45,0.887,0.031951980757354274
18,N/A,4055,5.48,1.017,0.019925704656579973,5.293,0.962,0.03464248876829275
19,N/A,4055,5.684,0.9697,0.01900694017673767,5.54,0.884,0.03182888561959892
20,N/A,4055,5.645,0.959,0.018796389983440475,5.535,0.8257,0.029736268277757886
21,N/A,4055,5.223,1.025,0.020097972996550407,5.04,0.8887,0.03200473581639229
22,N/A,4055,5.047,0.9653,0.018920806006752455,4.914,0.8154,0.02936698286449182
23,N/A,4055,5.12,0.972,0.019054792493396124,4.992,0.819,0.029490078002247174
24,N/A,4055,4.246,0.9688,0.01898779925007429,4.094,0.88,0.03168820546216423
25,N/A,4055,4.23,1.023,0.020059691143223646,4.105,0.949,0.03418527825663
26,N/A,4055,3.877,0.9536,0.018691114886791878,3.719,0.902,0.03247953134773437
27,N/A,4055,3.863,0.9277,0.018183880330212274,3.738,0.874,0.03147718522601219
28,N/A,4055,2.895,0.8354,0.016375062760522738,2.734,0.8076,0.029085622549622436
29,N/A,4055,1.886,0.7993,0.01566684847397763,1.762,0.784,0.02824154160501429
30,N/A,4055,0.698,0.4912,0.009627886111680814,0.6343,0.5034,0.01813015528939585
31,N/A,4055,0.1847,0.696,0.013637910247659205,0.1804,0.7124,0.025656543712151834
0,N/A,1168,-8.893e-05,0.000646,1.26640408344149e-05,-8.804e-05,0.000646,2.3269239907715672e-05
1,N/A,1168,0.00842,0.003645,7.144201338617528e-05,0.00893,0.003479,0.00012529326521527198
2,N/A,1168,0.0222,0.006367,0.00012478986953587287,0.02084,0.00714,0.00025718091281029515
3,N/A,1168,0.0353,0.01352,0.00026498220349618543,0.03253,0.013504,0.00048633570050664787
4,N/A,1168,0.0491,0.02159,0.0004231939254481968,0.0451,0.02028,0.0007303278485574407
5,N/A,1168,0.06274,0.04623,0.0009062032467194604,0.05225,0.04126,0.0014859341629039275
6,N/A,1168,0.02872,0.05737,0.0011245294414736538,0.014824,0.05362,0.0019310549735371307
7,N/A,1168,0.02794,0.063,0.0012345897697880965,0.01308,0.0634,0.0022838544308538176
8,N/A,1168,0.03056,0.08746,0.0017143092442890914,0.01115,0.08765,0.003156511032440887
9,N/A,1168,0.02222,0.09235,0.001810013877605998,-0.003216,0.0932,0.003356540631293339
10,N/A,1168,0.04248,0.1044,0.0020456865371488806,0.01266,0.1045,0.0037631942113779938
11,N/A,1168,0.06586,0.11487,0.00225145149878023,0.0287,0.11896,0.0042841504193783355
12,N/A,1168,0.0689,0.12067,0.002365100750844057,0.0394,0.1193,0.004297339184137838
13,N/A,1168,0.0745,0.1378,0.0027012632753696916,0.03305,0.1415,0.005095259452087728
14,N/A,1168,0.0652,0.1665,0.0032635279961065185,0.01654,0.1729,0.006225096966485093
15,N/A,1168,0.01311,0.1934,0.0037899034793495052,-0.0442,0.1932,0.006959271538097388
16,N/A,1168,-0.002007,0.225,0.004409590980076476,-0.0676,0.2296,0.00826935550420795
17,N/A,1168,-0.1683,0.2637,0.005168050199112962,-0.2534,0.27,0.00972451588267304
18,N/A,1168,-0.3455,0.308,0.0060389623622968125,-0.445,0.3162,0.011386300242370332
19,N/A,1168,-0.3408,0.3455,0.006771102807171149,-0.4583,0.3513,0.012652421659282554
20,N/A,1168,-0.4624,0.3828,0.007503243252045486,-0.611,0.381,0.013725107859722075
21,N/A,1168,-0.473,0.4084,0.008005692576959246,-0.642,0.4133,0.01488571915855828
22,N/A,1168,-0.563,0.4739,0.009288134663405796,-0.7603,0.48,0.0172860743447877
23,N/A,1168,-0.6436,0.5195,0.010182972984918872,-0.868,0.5225,0.01881597105688997
24,N/A,1168,-0.6646,0.5728,0.011226153488073156,-0.905,0.574,0.02067998314289963
25,N/A,1168,-0.709,0.602,0.011800381287974596,-0.958,0.601,0.021647159225263134
26,N/A,1168,-0.7227,0.623,0.012211911211237296,-0.9707,0.6216,0.022385730051795262
27,N/A,1168,-0.7495,0.653,0.012795709474470425,-0.9946,0.649,0.023370491153838102
28,N/A,1168,-1.05,0.6787,0.013302944031050031,-1.313,0.674,0.02426732715748426
29,N/A,1168,-1.274,0.694,0.013599628394332442,-1.535,0.6963,0.025076238062733736
30,N/A,1168,-1.653,0.768,0.015054338820749424,-1.918,0.752,0.027080930306178086
31,N/A,1168,-1.972,0.8057,0.015791264497289605,-2.232,0.7646,0.027538140817840832
0,N/A,2082,0.000857,0.0006905,1.3533233304968839e-05,0.0008593,0.0006905,2.4866316890311655e-05
1,N/A,2082,-0.00986,0.0058,0.0001136492520638267,-0.01001,0.005985,0.00021555387403811595
2,N/A,2082,-0.007603,0.015274,0.00029937605609444876,-0.005993,0.01506,0.0005423879507345327
3,N/A,2082,0.008575,0.04013,0.0007865724550733269,0.017,0.03848,0.0013859193634777015
4,N/A,2082,0.04782,0.0752,0.001473851353080363,0.0679,0.0705,0.0025388372162041956
5,N/A,2082,0.09973,0.11176,0.0021904397950407023,0.1222,0.10785,0.0038840912216734315
6,N/A,2082,0.08655,0.1337,0.002619914337050321,0.1209,0.1289,0.004642445195344814
7,N/A,2082,0.0953,0.1631,0.003196534752784684,0.1431,0.1562,0.0056272062973876545
8,N/A,2082,0.1726,0.2039,0.003995668440980855,0.2305,0.1991,0.007170291774249425
9,N/A,2082,0.1844,0.2196,0.004304315883427879,0.25,0.2115,0.0076187097760725036
10,N/A,2082,0.1968,0.2313,0.004534007003388455,0.268,0.2231,0.008036353993456744
11,N/A,2082,0.2048,0.255,0.00499578185914253,0.2876,0.2456,0.008845264898706219
12,N/A,2082,0.1738,0.26,0.005096271724125282,0.2678,0.2512,0.009047492625018588
13,N/A,2082,0.2673,0.286,0.005603506280704888,0.3684,0.278,0.010014668707382091
14,N/A,2082,0.2554,0.3318,0.00650312983388381,0.3691,0.3196,0.011509395380125687
15,N/A,2082,0.3108,0.3496,0.00685245174549052,0.425,0.3389,0.012204003657459475
16,N/A,2082,0.3176,0.3896,0.007637229738689155,0.446,0.3787,0.013637182761325393
17,N/A,2082,0.2646,0.445,0.008723477326836046,0.4133,0.435,0.01566825253428875
18,N/A,2082,0.1412,0.4912,0.009627886111680814,0.3088,0.4875,0.017558642149817415
19,N/A,2082,0.1869,0.559,0.010958180514785818,0.3896,0.5547,0.019976582355726174
20,N/A,2082,0.2164,0.619,0.01213534750458377,0.433,0.618,0.022262634914039906
21,N/A,2082,0.2566,0.6562,0.01286270271779226,0.4827,0.658,0.023704606527745493
22,N/A,2082,0.175,0.7456,0.014614097507491652,0.4463,0.738,0.02657096473547733
23,N/A,2082,0.1809,0.7954,0.015590284767324101,0.464,0.786,0.028311881683731634
24,N/A,2082,0.1812,0.874,0.0171311293637263,0.493,0.8647,0.0311430698521048
25,N/A,2082,0.2266,0.919,0.01801161199024184,0.5527,0.908,0.03270813660356574
26,N/A,2082,0.197,0.949,0.018604980716806663,0.5254,0.9487,0.034167693236950666
27,N/A,2082,0.08203,0.9844,0.01929405407668839,0.416,0.984,0.03543381465386289
28,N/A,2082,0.07025,1.016,0.019906563729916595,0.421,1.007,0.0362603105787917
29,N/A,2082,-0.0483,1.076,0.021093301183046236,0.3096,1.069,0.03851119309774676
30,N/A,2082,-0.29,1.203,0.02358162164928581,0.09595,1.182,0.04255574762399413
31,N/A,2082,-0.834,1.2295,0.024098426669197107,-0.4082,1.221,0.04396254919834105
