Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Standard Error (Supported),Average Activation (Not Supported),Std Activation (Not Supported),Standard Error (Not Supported)
0,N/A,133,-0.002775,0.001381,2.7066466609937678e-05,-0.002743,0.001245,4.4821192737371144e-05
1,N/A,133,0.11554,0.01217,0.0002385138908444784,0.11145,0.01224,0.000440724555713369
2,N/A,133,0.1416,0.02614,0.0005123188652245661,0.1312,0.0278,0.0010012470579922174
3,N/A,133,0.1759,0.03363,0.0006591656619701949,0.1595,0.03665,0.00131997553968019
4,N/A,133,0.1554,0.04895,0.0009594389490019897,0.1318,0.05457,0.0019651259491658447
5,N/A,133,0.1086,0.07214,0.0014140359572572966,0.0723,0.0762,0.0027432630699764813
6,N/A,133,0.1453,0.08716,0.0017083277047067846,0.0984,0.086,0.003097161591023127
7,N/A,133,0.2053,0.11475,0.0022490588829473077,0.142,0.1114,0.004011582614348621
8,N/A,133,0.2368,0.1537,0.0030123033336496383,0.1519,0.1437,0.005174392040644742
9,N/A,133,0.2722,0.1768,0.0034645077260720227,0.1715,0.1678,0.006044850514771894
10,N/A,133,0.3164,0.2128,0.004170329396784209,0.1989,0.2014,0.007253820617726273
11,N/A,133,0.36,0.2303,0.0045148660767250735,0.2329,0.2229,0.008027561483617076
12,N/A,133,0.3743,0.2328,0.004562718393383527,0.2375,0.2225,0.008014372718857573
13,N/A,133,0.402,0.2708,0.005306821917422476,0.2479,0.2583,0.009302475410368966
14,N/A,133,0.3826,0.2751,0.005392956087407692,0.2307,0.2644,0.009522288156360671
15,N/A,133,0.4321,0.3035,0.005948042960645751,0.2534,0.2893,0.010419124160006829
16,N/A,133,0.412,0.321,0.006292579640586615,0.2295,0.311,0.011201657535737299
17,N/A,133,0.4854,0.3171,0.00621601593393309,0.3,0.3086,0.011113732437340616
18,N/A,133,0.4392,0.3088,0.006053318057294349,0.2742,0.2993,0.010779617063433226
19,N/A,133,0.4995,0.313,0.0061346669956137195,0.3428,0.2988,0.010762032043753889
20,N/A,133,0.5933,0.3108,0.006091599910621111,0.443,0.303,0.010911504711028249
21,N/A,133,0.6875,0.3206,0.006283009177254925,0.535,0.319,0.01149181036044635
22,N/A,133,0.5747,0.3708,0.007268766900419064,0.4324,0.3718,0.013390992485814683
23,N/A,133,0.6196,0.3787,0.007421894313726115,0.486,0.3774,0.013593220212127052
24,N/A,133,0.5806,0.392,0.007685082055347608,0.4426,0.3835,0.013813032958118757
25,N/A,133,0.653,0.3984,0.0078094980786595864,0.518,0.3916,0.014103185782827809
26,N/A,133,0.8174,0.4324,0.008474645280212089,0.6724,0.4238,0.015263797081664011
27,N/A,133,0.808,0.4348,0.008522497596870541,0.67,0.421,0.015158286963587994
28,N/A,133,0.745,0.4534,0.008886175203474787,0.606,0.4436,0.015975990378677137
29,N/A,133,0.544,0.4573,0.008962738910128313,0.4075,0.4485,0.016151840575470502
30,N/A,133,0.8086,0.4768,0.009345557443395939,0.67,0.4592,0.0165387110084159
31,N/A,133,0.334,0.4744,0.009297705126737487,0.2249,0.4531,0.0163188982624242
0,N/A,2485,-0.005066,0.00221,4.332877734933393e-05,-0.004986,0.001953,7.034007871734568e-05
1,N/A,2485,0.1078,0.0123,0.00024105604516695876,0.1034,0.013245,0.00047699365880200036
2,N/A,2485,0.1697,0.02649,0.0005191976357442189,0.1588,0.02881,0.0010375161610808488
3,N/A,2485,0.2473,0.03702,0.0007255607513337989,0.2318,0.0397,0.0014298819126760426
4,N/A,2485,0.318,0.05197,0.0010186561908668258,0.2969,0.05783,0.002082725768271407
5,N/A,2485,0.4167,0.08185,0.0016042489159746485,0.3823,0.09033,0.0032532286406772378
6,N/A,2485,0.5107,0.1115,0.0021856545633748567,0.4656,0.1183,0.004259971017319248
7,N/A,2485,0.601,0.1293,0.002533780167065105,0.546,0.1366,0.004919409255294363
8,N/A,2485,0.7065,0.1542,0.003021873796981329,0.6396,0.1644,0.005921755377016539
9,N/A,2485,0.769,0.1655,0.003244387069443137,0.6953,0.1731,0.00623388947632476
10,N/A,2485,0.831,0.1957,0.003835363180175036,0.748,0.2048,0.007376915755481628
11,N/A,2485,0.8594,0.2147,0.004208611250110972,0.7754,0.2258,0.008133071601693093
12,N/A,2485,0.886,0.2168,0.004249285719270657,0.7964,0.227,0.008177034150891434
13,N/A,2485,1.03,0.252,0.004938359079152386,0.918,0.2659,0.00957504321539868
14,N/A,2485,1.107,0.267,0.005235043442434796,0.987,0.2825,0.010172933884496119
15,N/A,2485,1.18,0.302,0.005919331570650679,1.041,0.3225,0.011614905498201706
16,N/A,2485,1.204,0.3389,0.006641901552193325,1.054,0.3586,0.0129161969544726
17,N/A,2485,1.471,0.3787,0.007421894313726115,1.3125,0.4001,0.014410923627216196
18,N/A,2485,1.4795,0.3977,0.007795142383662051,1.325,0.4287,0.015439647278457376
19,N/A,2485,1.632,0.434,0.008508141901873005,1.463,0.4648,0.01674093873472827
20,N/A,2485,1.722,0.4653,0.009120651555101209,1.552,0.4993,0.017980682622121488
21,N/A,2485,1.774,0.4895,0.009594389490019896,1.594,0.525,0.01890389615528665
22,N/A,2485,1.946,0.5605,0.01098689190478089,1.747,0.5913,0.021295458831676405
23,N/A,2485,1.978,0.5884,0.011532408314687258,1.776,0.616,0.022192294835322562
24,N/A,2485,2.008,0.6035,0.011829092677969668,1.799,0.631,0.022719845425702653
25,N/A,2485,2.104,0.623,0.012211911211237296,1.89,0.6543,0.023563926370310802
26,N/A,2485,2.113,0.6714,0.013159387081074671,1.876,0.7,0.025216918220168427
27,N/A,2485,2.191,0.6987,0.013695333027649349,1.957,0.7207,0.025955489046700555
28,N/A,2485,2.291,0.748,0.014661949824150106,2.03,0.7705,0.02774916105399287
29,N/A,2485,2.338,0.801,0.0156955598639727,2.041,0.8184,0.02947249298256784
30,N/A,2485,2.416,0.8506,0.016671747123805147,2.084,0.8667,0.031213409930822146
