Layer,Top Dimension
4,3039
5,3039
6,3039
7,3039
8,3039
9,3039
10,3039
11,1830
12,103
13,103
14,103
15,103
16,1830
17,1830
18,1534
19,1830
20,1534
21,1534
22,1534
23,79
24,79
25,79
26,79
27,79
