Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Standard Error (Supported),Average Activation (Not Supported),Std Activation (Not Supported),Standard Error (Not Supported)
0,N/A,4030,0.02057,0.001843,3.2261930251658644e-05,0.02069,0.0009456,3.0486338626732736e-05
1,N/A,4030,0.0318,0.00666,0.0001165635389951288,0.03069,0.00577,0.0001860850442450696
2,N/A,4030,0.05023,0.00859,0.00015034426679096796,0.04904,0.00808,0.0002604944637878767
3,N/A,4030,0.0717,0.010994,0.00019240327570673607,0.07007,0.010895,0.000351261656552491
4,N/A,4030,0.0857,0.012505,0.0002188403670252189,0.08466,0.01208,0.0003893887971446731
5,N/A,4030,0.0952,0.0157,0.00027478552491635175,0.09467,0.015,0.00048359973164019415
6,N/A,4030,0.11554,0.02025,0.0003543638401982495,0.1152,0.01994,0.0006429957774707363
7,N/A,4030,0.1396,0.02608,0.0004563736269018903,0.1393,0.02548,0.0008215783843734733
8,N/A,4030,0.1724,0.03607,0.0006312856957261958,0.1721,0.0348,0.0011216758780667779
9,N/A,4030,0.2178,0.04523,0.0007915104915957886,0.217,0.04388,0.001414885888298269
10,N/A,4030,0.2427,0.05405,0.0009458603782834964,0.2421,0.05212,0.0016805459646825058
11,N/A,4030,0.2708,0.0628,0.001099142099665407,0.2695,0.06107,0.0019688363438698443
12,N/A,4030,0.29,0.07117,0.001245480746559635,0.289,0.06915,0.002229576789209929
13,N/A,4030,0.2908,0.0819,0.0014334778403799573,0.2886,0.07983,0.002573950962300606
14,N/A,4030,0.3237,0.099,0.0017325641260031973,0.3137,0.0975,0.003142660311004639
15,N/A,4030,0.358,0.115,0.002012423436122086,0.349,0.11255,0.0036287198581669094
16,N/A,4030,0.4006,0.1267,0.002217511174835165,0.3901,0.12366,0.003986868998181214
17,N/A,4030,0.4656,0.1385,0.0024247352441598385,0.45,0.1373,0.004427667939737281
18,N/A,4030,0.5146,0.1508,0.0026383683053192958,0.486,0.1489,0.0048015598990928735
19,N/A,4030,0.5586,0.1663,0.002909682292991806,0.5293,0.1656,0.005340751461531992
20,N/A,4030,0.4807,0.1818,0.0031809962806643166,0.4463,0.1807,0.005824843156276601
21,N/A,4030,0.524,0.194,0.003394629341823774,0.4846,0.193,0.006222349344644126
22,N/A,4030,0.5386,0.207,0.003623216717264393,0.4946,0.2068,0.006667083991035515
23,N/A,4030,0.532,0.2267,0.003967165945731119,0.4875,0.227,0.0073204109936989715
24,N/A,4030,0.542,0.2368,0.0041444813864934685,0.497,0.2377,0.007662817314371987
25,N/A,4030,0.5513,0.2418,0.0042320709415688456,0.498,0.2477,0.007985545110868394
26,N/A,4030,0.6064,0.2472,0.004326069488479007,0.553,0.2527,0.008146909009116597
27,N/A,4030,0.612,0.2507,0.00438802307621525,0.5513,0.2617,0.008438151166930427
28,N/A,4030,0.6777,0.2517,0.004405113721108006,0.6177,0.273,0.008800236011780054
29,N/A,4030,0.713,0.2612,0.004571747508812383,0.647,0.2793,0.0090048926632168
30,N/A,4030,0.704,0.2566,0.004490566945571789,0.6367,0.2747,0.008855335879474562
31,N/A,4030,0.703,0.2725,0.004768289925079083,0.6206,0.2964,0.009555891340161883
32,N/A,4030,0.7246,0.2761,0.004832379843426921,0.633,0.3005,0.009689705304562831
33,N/A,4030,0.7617,0.2866,0.005016104276024054,0.664,0.3125,0.01007540437842439
34,N/A,4030,0.767,0.2942,0.005148556773942917,0.671,0.3223,0.010390260765250153
35,N/A,4030,0.8296,0.3184,0.005571550235038642,0.7188,0.346,0.011153787503302625
36,N/A,4030,0.749,0.3064,0.005362189835102374,0.6406,0.3384,0.01090977380351266
37,N/A,4030,0.777,0.3118,0.005456188382012535,0.666,0.342,0.011027844948572322
38,N/A,4030,0.8184,0.3154,0.005520278300360372,0.7026,0.349,0.011256115829020998
39,N/A,4030,0.9272,0.3289,0.005755274667635775,0.799,0.3594,0.01158671503518805
40,N/A,4030,0.8745,0.3489,0.006105632887937285,0.739,0.3787,0.01220855639916893
41,N/A,4030,0.8745,0.3704,0.0064816270755779296,0.731,0.3984,0.012846140582491098
42,N/A,4030,0.885,0.385,0.006737986748969278,0.734,0.4111,0.01325545388536459
43,N/A,4030,0.9033,0.386,0.006755077393862035,0.7515,0.4136,0.01333416798207103
44,N/A,4030,1.007,0.4043,0.00707552698560122,0.8467,0.4336,0.013979623575063842
45,N/A,4030,1.043,0.4353,0.007618154960946241,0.861,0.4648,0.014987164012906281
46,N/A,4030,1.17,0.4553,0.007968513181247751,0.9863,0.4846,0.01562474819622845
47,N/A,4030,1.279,0.4607,0.008062511728157912,1.096,0.4907,0.015821533437994553
48,N/A,4030,1.34,0.4697,0.00822060019341591,1.156,0.4988,0.016081289957125804
49,N/A,4030,1.392,0.4873,0.008528231801485528,1.201,0.516,0.016640160043741532
50,N/A,4030,1.486,0.4958,0.008677774944297148,1.292,0.5186,0.016718874140447974
51,N/A,4030,1.54,0.502,0.008784591474876877,1.342,0.526,0.016955016430567293
52,N/A,4030,1.673,0.5,0.008750410185091364,1.479,0.523,0.016860559514519566
53,N/A,4030,1.764,0.532,0.009314401466552331,1.561,0.5586,0.0180097853264336
54,N/A,4030,1.781,0.5415,0.009476762593033518,1.571,0.572,0.018434841448648376
55,N/A,4030,1.792,0.5366,0.009391309368569736,1.583,0.57,0.018371870171283226
56,N/A,4030,2.027,0.5547,0.009707486299085731,1.816,0.59,0.019017325764276036
57,N/A,4030,2.094,0.56,0.009801484845995894,1.877,0.594,0.019159011138347632
58,N/A,4030,2.127,0.5664,0.009912574037798811,1.907,0.602,0.01941089624780824
59,N/A,4030,2.166,0.5723,0.01001511790715535,1.947,0.607,0.01956832444122112
60,N/A,4030,2.188,0.5747,0.010057844519387241,1.973,0.61,0.01966278135726885
61,N/A,4030,2.195,0.5864,0.010262932258100321,1.978,0.6226,0.020072094660142342
62,N/A,4030,2.252,0.599,0.010485110641706156,2.033,0.6343,0.020449922324333257
63,N/A,4030,2.242,0.6035,0.01056201854372356,2.023,0.638,0.02057586487906356
64,N/A,4030,2.277,0.612,0.010707289025311992,2.053,0.642,0.020701807433793865
65,N/A,4030,2.295,0.6104,0.010681653057972857,2.07,0.6436,0.02074903589181773
66,N/A,4030,2.316,0.618,0.01081837821711491,2.092,0.6523,0.021032406639960914
67,N/A,4030,2.355,0.6445,0.011279825629219337,2.13,0.6733,0.021709347871636305
68,N/A,4030,2.316,0.6523,0.01141655078836139,2.09,0.6826,0.022008461439120778
69,N/A,4030,2.432,0.6685,0.011698546429091872,2.209,0.6987,0.022527974477383285
70,N/A,4030,2.453,0.6807,0.01191217949025133,2.24,0.709,0.022858573683550338
71,N/A,4030,2.285,0.7085,0.012399262869694892,2.068,0.7373,0.023771657205345048
72,N/A,4030,2.266,0.7266,0.012715439800210889,2.045,0.752,0.02424394178558369
73,N/A,4030,2.547,0.7407,0.012963254151155859,2.312,0.7695,0.024810683281870062
74,N/A,4030,2.852,0.7993,0.013988692844721254,2.598,0.8315,0.02681002133821365
75,N/A,4030,2.723,0.8228,0.01439886832214741,2.45,0.859,0.027691619221325785
76,N/A,4030,3.229,0.9253,0.01619338603588685,2.885,0.958,0.030887411547607272
77,N/A,4030,3.549,0.981,0.017167552794773975,3.203,1.007,0.03246169348173608
78,N/A,4030,3.244,0.948,0.01659501619086663,2.906,0.985,0.03175326661137812
79,N/A,4030,1.578,0.828,0.014492866869057573,1.294,0.8735,0.02816390380156443
0,N/A,6890,0.02977,0.00383,6.702737293877968e-05,0.02957,0.003883,0.000125204610073682
1,N/A,6890,-0.02515,0.00917,0.00016049183719604217,-0.02477,0.0083,0.00026762792880189785
2,N/A,6890,-0.03696,0.01595,0.0002790581861395409,-0.03418,0.01419,0.0004575256871061857
3,N/A,6890,-0.04025,0.02487,0.0004352773621123939,-0.0345,0.02261,0.0007290893207434056
4,N/A,6890,-0.04517,0.03008,0.0005263384544316125,-0.0382,0.02844,0.0009170192266300324
5,N/A,6890,-0.04272,0.0366,0.0006403651008254728,-0.03445,0.0356,0.0011482418857052016
6,N/A,6890,-0.04434,0.0423,0.000740238556917519,-0.03378,0.0422,0.001360769946812591
7,N/A,6890,-0.04742,0.04752,0.0008315666905631869,-0.0352,0.04807,0.0015496837789080484
8,N/A,6890,-0.0798,0.05542,0.0009698940976639354,-0.0639,0.05716,0.0018428937891395395
9,N/A,6890,-0.10315,0.0633,0.0011076874221117852,-0.0838,0.0659,0.002125280611073895
10,N/A,6890,-0.1071,0.0712,0.0012465489118654324,-0.0865,0.07465,0.00240668350679942
11,N/A,6890,-0.1345,0.07623,0.0013341384669408097,-0.11145,0.07996,0.0025778866671359283
12,N/A,6890,-0.151,0.0822,0.0014388186669089438,-0.128,0.0873,0.0028140289572552496
13,N/A,6890,-0.2001,0.09534,0.0016684742076553602,-0.1729,0.1022,0.0032941849471645373
14,N/A,6890,-0.273,0.11304,0.001978242146336573,-0.2408,0.12054,0.0038865085248805022
15,N/A,6890,-0.3286,0.12225,0.002139535107511963,-0.2942,0.1306,0.0042112041737945695
16,N/A,6890,-0.3953,0.12415,0.002172648231991679,-0.3645,0.1338,0.004313532499512942
17,N/A,6890,-0.4915,0.1384,0.0024225989135482438,-0.4553,0.1487,0.004793688489422229
18,N/A,6890,-0.569,0.1569,0.002745184835899024,-0.526,0.1672,0.005391915624391177
19,N/A,6890,-0.621,0.1649,0.0028861826562642657,-0.5767,0.1757,0.005663479258028398
20,N/A,6890,-0.6133,0.1748,0.003059225435803426,-0.573,0.1846,0.005950785711006905
21,N/A,6890,-0.65,0.1859,0.003253631521458532,-0.604,0.1957,0.0063089348510212105
22,N/A,6890,-0.6885,0.1962,0.003433083292832476,-0.6396,0.2068,0.006667083991035515
23,N/A,6890,-0.705,0.2065,0.0036146713948180145,-0.656,0.2162,0.0069701332633553105
24,N/A,6890,-0.718,0.2158,0.003777032521299202,-0.666,0.225,0.007253504011498497
25,N/A,6890,-0.7534,0.2255,0.003945802639615173,-0.7007,0.2347,0.007568360398324259
26,N/A,6890,-0.765,0.2302,0.004029119533467362,-0.7124,0.2391,0.007710045772395852
27,N/A,6890,-0.754,0.2418,0.0042320709415688456,-0.6997,0.252,0.008123294780104665
28,N/A,6890,-0.6924,0.2451,0.004289751868081899,-0.6377,0.2542,0.00819413746714046
29,N/A,6890,-0.682,0.2524,0.004417931704777574,-0.621,0.261,0.008414536937918495
30,N/A,6890,-0.6685,0.257,0.004499112268018167,-0.6055,0.2673,0.00861919358935524
