Layer,Full Probe AUROC,Sparse Probe AUROC
0,0.5032415519399249,0.506720901126408
1,0.5062788630715932,0.613644591971849
2,0.515560755291941,0.6233161016488001
3,0.5886727975186374,0.5777936188351381
4,0.5466840797373529,0.6018363534127805
5,0.580153815457728,0.6304438519163448
6,0.6156304075746858,0.640959895521576
7,0.6278859443870054,0.6771293827429213
8,0.6456802887667555,0.660259744971069
9,0.6565638207179265,0.6528200105203968
10,0.6740545246775862,0.6460923981063286
11,0.6877223340770164,0.6632007400555041
12,0.7002136728882117,0.6597123215613719
13,0.7061660408844388,0.6443188043024796
14,0.7367560900400865,0.6780519127169832
15,0.7483466652155775,0.6709252507663566
16,0.7604284340933413,0.6761099925631677
17,0.7641290743864614,0.6643017540040994
18,0.7569059150024487,0.6625488382216901
19,0.7804930075638025,0.6837220438591718
20,0.754161179735539,0.6706749378752426
21,0.7607893925377737,0.6599161995973228
22,0.7774569661352052,0.6609156373002485
23,0.762952966570532,0.6627643249714316
24,0.7760922167201756,0.6724782790081805
25,0.7856806515390616,0.6900063485153545
26,0.7851553572400283,0.6799655366309336
27,0.7953757414159004,0.6949015980120078
28,0.7922925395875279,0.6614630607099454
29,0.7779307467667919,0.6542301064736719
30,0.7653679418113221,0.6159271553209628
31,0.7510718107779654,0.6093653298507192
32,0.77269485407484,0.6040681286390598
33,0.774476791641726,0.6170713391739675
34,0.7758244907583756,0.6167256171663855
35,0.7638845658522427,0.6161908907873972
36,0.7515013331882242,0.6128399629972249
37,0.7679621265712575,0.6258286626398941
38,0.74945420906568,0.6457945620431337
39,0.7486542961310334,0.6230509150931418
40,0.7533717871977654,0.6416041791369647
41,0.7733659828408699,0.6209123723494948
