Layer,Neuron,Dimension,Average Activation (Supported),Std Activation (Supported),Average Activation (Not Supported),Std Activation (Not Supported)
78,1071,33839,-0.0652,1.357,0.3704,1.494
77,6890,31466,-1.3545,0.766,-1.099,0.822
78,4030,36798,3.549,0.981,3.203,1.007
77,4030,28606,3.229,0.9253,2.885,0.9575
78,4994,37762,1.19,0.866,0.921,0.8555

# sig_dims = {76: [4030, 6890], 77: [1071, 4030, 4994]}
# clamp_values = {76: [3.229+2*0.9253, -1.3545-2*0.766], 77: [-0.0652-2*1.357, 3.549+2*0.981, 1.19+2*0.866]}
